mapping_id,source_dataset,source_label_space,source_processed_label_id,target_dataset,target_label_space,target_processed_label_id,relation,action_match,granularity_match,body_segment_match,laterality_match,task_context_match,one_to_one,decision,decision_reason
physionet_grabmyo_identity_10,physionet_grabmyo,grabmyo_processed_0_based,10,physionet_grabmyo,grabmyo_processed_0_based,10,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_11,physionet_grabmyo,grabmyo_processed_0_based,11,physionet_grabmyo,grabmyo_processed_0_based,11,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_12,physionet_grabmyo,grabmyo_processed_0_based,12,physionet_grabmyo,grabmyo_processed_0_based,12,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_13,physionet_grabmyo,grabmyo_processed_0_based,13,physionet_grabmyo,grabmyo_processed_0_based,13,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_14,physionet_grabmyo,grabmyo_processed_0_based,14,physionet_grabmyo,grabmyo_processed_0_based,14,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_15,physionet_grabmyo,grabmyo_processed_0_based,15,physionet_grabmyo,grabmyo_processed_0_based,15,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_16,physionet_grabmyo,grabmyo_processed_0_based,16,physionet_grabmyo,grabmyo_processed_0_based,16,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_0,physionet_hyser,hyser_processed_0_based,0,physionet_hyser,hyser_processed_0_based,0,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_1,physionet_hyser,hyser_processed_0_based,1,physionet_hyser,hyser_processed_0_based,1,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_2,physionet_hyser,hyser_processed_0_based,2,physionet_hyser,hyser_processed_0_based,2,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_3,physionet_hyser,hyser_processed_0_based,3,physionet_hyser,hyser_processed_0_based,3,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_4,physionet_hyser,hyser_processed_0_based,4,physionet_hyser,hyser_processed_0_based,4,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_5,physionet_hyser,hyser_processed_0_based,5,physionet_hyser,hyser_processed_0_based,5,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_6,physionet_hyser,hyser_processed_0_based,6,physionet_hyser,hyser_processed_0_based,6,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_7,physionet_hyser,hyser_processed_0_based,7,physionet_hyser,hyser_processed_0_based,7,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_8,physionet_hyser,hyser_processed_0_based,8,physionet_hyser,hyser_processed_0_based,8,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_9,physionet_hyser,hyser_processed_0_based,9,physionet_hyser,hyser_processed_0_based,9,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_10,physionet_hyser,hyser_processed_0_based,10,physionet_hyser,hyser_processed_0_based,10,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_11,physionet_hyser,hyser_processed_0_based,11,physionet_hyser,hyser_processed_0_based,11,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_12,physionet_hyser,hyser_processed_0_based,12,physionet_hyser,hyser_processed_0_based,12,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_13,physionet_hyser,hyser_processed_0_based,13,physionet_hyser,hyser_processed_0_based,13,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_14,physionet_hyser,hyser_processed_0_based,14,physionet_hyser,hyser_processed_0_based,14,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_15,physionet_hyser,hyser_processed_0_based,15,physionet_hyser,hyser_processed_0_based,15,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_16,physionet_hyser,hyser_processed_0_based,16,physionet_hyser,hyser_processed_0_based,16,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_17,physionet_hyser,hyser_processed_0_based,17,physionet_hyser,hyser_processed_0_based,17,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_18,physionet_hyser,hyser_processed_0_based,18,physionet_hyser,hyser_processed_0_based,18,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_19,physionet_hyser,hyser_processed_0_based,19,physionet_hyser,hyser_processed_0_based,19,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_20,physionet_hyser,hyser_processed_0_based,20,physionet_hyser,hyser_processed_0_based,20,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_21,physionet_hyser,hyser_processed_0_based,21,physionet_hyser,hyser_processed_0_based,21,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_22,physionet_hyser,hyser_processed_0_based,22,physionet_hyser,hyser_processed_0_based,22,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_23,physionet_hyser,hyser_processed_0_based,23,physionet_hyser,hyser_processed_0_based,23,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_24,physionet_hyser,hyser_processed_0_based,24,physionet_hyser,hyser_processed_0_based,24,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_25,physionet_hyser,hyser_processed_0_based,25,physionet_hyser,hyser_processed_0_based,25,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_26,physionet_hyser,hyser_processed_0_based,26,physionet_hyser,hyser_processed_0_based,26,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_27,physionet_hyser,hyser_processed_0_based,27,physionet_hyser,hyser_processed_0_based,27,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_28,physionet_hyser,hyser_processed_0_based,28,physionet_hyser,hyser_processed_0_based,28,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_29,physionet_hyser,hyser_processed_0_based,29,physionet_hyser,hyser_processed_0_based,29,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_30,physionet_hyser,hyser_processed_0_based,30,physionet_hyser,hyser_processed_0_based,30,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_31,physionet_hyser,hyser_processed_0_based,31,physionet_hyser,hyser_processed_0_based,31,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_32,physionet_hyser,hyser_processed_0_based,32,physionet_hyser,hyser_processed_0_based,32,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_hyser_identity_33,physionet_hyser,hyser_processed_0_based,33,physionet_hyser,hyser_processed_0_based,33,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
hyser_to_grabmyo_cross_dataset,physionet_hyser,hyser_processed_0_based,0..33,physionet_grabmyo,grabmyo_processed_0_based,0..16,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,no,fail_closed_not_evaluable,frozen package lacks recoverable Hyser semantic labels and documented one-to-one control-intent equivalence
